year,genre,fraction
1961,other,0.1262732291423684
1962,other,0.12803866406982617
1963,other,0.1296907633227784
1964,other,0.13299044819985306
1965,other,0.138496298432843
1966,other,0.14665168539325843
1967,other,0.14196348780799184
1968,other,0.14168490153172866
1969,other,0.14643414263429463
1970,other,0.1588396675542645
1971,other,0.15957492578410704
1972,other,0.17412286422329465
1973,other,0.178668232743043
1974,other,0.19851445332828688
1975,other,0.21848484848484848
1976,other,0.22205890072969708
1977,other,0.23993531838965093
1978,other,0.24695306899023878
1979,other,0.259946949602122
1980,other,0.2703381959241654
1981,other,0.2719548357664234
1982,other,0.2895137206288387
1983,other,0.29354250676683424
1984,other,0.305151629817828
1985,other,0.2989696283109457
1986,other,0.31304993109297147
1987,other,0.3157072855527435
1988,other,0.32554721536927195
1989,other,0.31566773934030573
1990,other,0.33426559938277556
1991,other,0.34348225214198286
1992,other,0.35757129327580767
1993,other,0.37303621169916434
1994,other,0.37924163060806193
1995,other,0.3803077635080412
1996,other,0.3892454886762747
1997,other,0.40829286514755325
1998,other,0.43171579353842193
1999,other,0.4184611344537815
2000,other,0.4245356539810365
2001,other,0.4176418958455237
2002,other,0.42437939977769545
2003,other,0.4388122845502977
2004,other,0.4252990383863654
2005,other,0.436128073939594
2006,other,0.42321604735284446
2007,other,0.45508557240400815
1800,fiction,0.025362318840579712
1801,fiction,0.02661064425770308
1802,fiction,0.016181229773462782
1803,fiction,0.01532033426183844
1804,fiction,0.017080745341614908
1805,fiction,0.011940298507462687
1806,fiction,0.024498886414253896
1807,fiction,0.03302509907529723
1808,fiction,0.011778563015312132
1809,fiction,0.03302509907529723
1810,fiction,0.04
1811,fiction,0.015384615384615385
1812,fiction,0.03790983606557377
1813,fiction,0.04372355430183357
1814,fiction,0.06578947368421052
1815,fiction,0.03324468085106383
1816,fiction,0.030612244897959183
1817,fiction,0.03766233766233766
1818,fiction,0.03488372093023256
1819,fiction,0.01532567049808429
1820,fiction,0.023634881825590873
1821,fiction,0.029684601113172542
1822,fiction,0.02666666666666667
1823,fiction,0.018633540372670808
