"alias"	"ourname"
"Haggard, H. Rider (Henry Rider),"	"Haggard, H. Rider"
"(Robert Bontine), Cunninghame Graham, R. B."	"Cunninghame Graham, R. B"
"Cunninghame Graham, R. B. (Robert Bontine),"	"Cunninghame Graham, R. B"
"Laughlin, Clara E. (Clara Elizabeth),"	"Laughlin, Clara E"
"(Clara Elizabeth), Laughlin, Clara E."	"Laughlin, Clara E"
"Anstey, F.,"	"Anstey, F"
"Frankland, Edward  Percy,"	"Frankland, Edward Percy"
"Shanks, Edward."	"Shanks, Edward"
"(Adeline Dutton Train), Whitney, A. D. T."	"Whitney, A. D. T"
"Whitney, A. D. T. (Adeline Dutton Train),"	"Whitney, A. D. T"
"Morehead, George."	"Morehead, George"
"Mallock, W. H. (William Hurrell),"	"Mallock, W. H"
"(William Hurrell), Mallock, W. H."	"Mallock, W. H"
"Howe, Mary A."	"Howe, Mary A"
"Montague, C. E. (Charles Edward),"	"Montague, C. E"
"(Charles Edward), Montague, C. E."	"Montague, C. E"
"(Gladys Bronwyn), Stern, G. B."	"Stern, G. B"
"Stern, G. B. (Gladys Bronwyn),"	"Stern, G. B"
"Tabor, Eliza."	"Tabor, Eliza"
"Winslow, Thyra (Samter) Mrs.,"	"Winslow, Thyra Samter"
"Miller, Alice Duer, Mrs.,"	"Miller, Alice Duer"
"Davis, H. L. (Harold Lenoir),"	"Davis, H. L"
"Caine, Hall, Sir,"	"Caine, Hall"
"Sir, Caine, Hall,"	"Caine, Hall"
"(Edgar Watson), Howe, E. W."	"Howe, E. W"
"Howe, E. W. (Edgar Watson),"	"Howe, E. W"
"Crockett, S. R. (Samuel Rutherford),"	"Crockett, S. R"
"Larsen, Nella."	"Larsen, Nella"
"Philips, F. C. (Francis Charles),"	"Philips, F. C"
"(Francis Charles), Philips, F. C."	"Philips, F. C"
"Ellis, Havelock, Mrs.,"	"Ellis, Havelock"
"Bell, Emily Ernst."	"Bell, Emily Ernst"
"Howard, Robert E. (Robert Ervin),"	"Howard, Robert E"
"Gowing, Aylmer."	"Gowing, Aylmer"
"Rhys, Jean."	"Rhys, Jean"
"Harband, Beatrice M."	"Harband, Beatrice M"
"Noble, Frances."	"Noble, Frances"
"Yonge, Charlotte M. (Charlotte Mary),"	"Yonge, Charlotte M"
"Yonge, Charlotte Mary,"	"Yonge, Charlotte M"
"Deprend, Jeffrey."	"Deprend, Jeffrey"
"Lynn, Margaret."	"Lynn, Margaret"
"Fleming, Geraldine."	"Fleming, Geraldine"
"Williamson, C. N. (Charles Norris),"	"Williamson, C. N"
"(Charles Norris), Williamson, C. N."	"Williamson, C. N"
"Williamson, C. N., Mrs.,"	"Williamson, C. N"
"Jay, W. M. L.,"	"Jay, W. M. L"
"Copping, Arthur E. (Arthur Edward),"	"Copping, Arthur E"
"Copping, Arthur Edward,"	"Copping, Arthur E"
"(Arthur Edward), Copping, Arthur E."	"Copping, Arthur E"
"Daniel, Mackenzie, Mrs."	"Daniel, Mackenzie"
"Eiker, Mathilde."	"Eiker, Mathilde"
"(Frederick William), Robinson, F. W."	"Robinson, F. W"
"Robinson, F. W. (Frederick William),"	"Robinson, F. W"
"Mayo, Isabella Fyvie,"	"Mayo, Isabella (Fyvie)"
"Maugham, W. Somerset (William Somerset),"	"Maugham, W. Somerset"
"(William Somerset), Maugham, W. Somerset"	"Maugham, W. Somerset"
"Glascock, Mary W."	"Glascock, Mary W"
"Alexander, Miriam."	"Alexander, M"
"Alexander, Meena,"	"Alexander, M"
"Alexander, Mirian."	"Alexander, M"
"Berriedale."	"Berriedale"
"(Joseph Henry), Shorthouse, J. H."	"Shorthouse, J. H"
"Shorthouse, J. H. (Joseph Henry),"	"Shorthouse, J. H"
"(Richard Doddridge), Blackmore, R. D."	"Blackmore, R. D"
"Blackmore, R. D. (Richard Doddridge),"	"Blackmore, R. D"
"Blackmore, R. D."	"Blackmore, R. D"
"Broster, Dorothy Kathleen."	"Broster, Dorothy Kathleen"
"(Azel Stevens), Roe, A. S."	"Roe, A. S"
"Roe, A. S. (Azel Stevens),"	"Roe, A. S"
"Knight, Kathleen Moore."	"Knight, Kathleen Moore"
"Mrs., Crosland, Newton,"	"Crosland, Newton"
"Viles, Edward."	"Viles, Edward"
"Hubbard, Margaret Ann."	"Hubbard, Margaret Ann"
"(Joseph Smith), Fletcher, J. S."	"Fletcher, J. S. (Joseph Smith)"
"Poole, Mary Belle."	"Poole, Mary Belle"
"Taylor, Winifred."	"Taylor, Winifred"
"(Thomas Bertram), Costain, Thomas B."	"Costain, Thomas B. (Thomas Bertram)"
"Costain, Thomas Bertram,"	"Costain, Thomas B. (Thomas Bertram)"
"(Edward Frederic), Benson, E. F."	"Benson, E. F"
"Benson, E. F. (Edward Frederic),"	"Benson, E. F"
"Bower, B. M.,"	"Bower, B. M"
"(Bertha Muzzy), Bower, B. M."	"Bower, B. M"
"Bower, B. M."	"Bower, B. M"
"Speight, T. W. (Thomas Wilkinson),"	"Speight, T. W"
"(Thomas Wilkinson), Speight, T. W."	"Speight, T. W"
"Barretto, Larry."	"Barretto, Larry"
"(Lloyd Cassel), Douglas, Lloyd C."	"(Lloyd Cassel), Douglas, Lloyd C"
"Douglas, Lloyd C. (Lloyd Cassel),"	"(Lloyd Cassel), Douglas, Lloyd C"
"Underwood, Charlotte."	"Underwood, Charlotte"
"Barrowcliffe, A. J."	"Barrowcliffe, A. J"
"Edwards, C. R. (Charles R.)"	"Edwards, C. R"
"Campbell, Frances W."	"Campbell, Frances W"
"Travers, John."	"Travers, John"
"Mrs. Cartwright, Robert,"	"Cartwright, Robert"
"Henry, O.,"	"Henry, O"
"(Mollie Evelyn Moore), Davis, M. E. M."	"Davis, M. E. M"
"Walsingham, Charlotte."	"Walsingham, Charlotte"
"De Jongh, Bertha."	"De Jongh, Bertha"
"Brame, Charlotte M.,"	"Brame, Charlotte M"
"Kennedy, Sidney R. (Sidney Robinson),"	"Kennedy, Sidney R"
"Edwards, Harry Bennett, Mrs."	"Edwards, Harry Bennett"
"(John Moore), Capes, J. M."	"Capes, J. M"
"Owen, Octavius Freire, Mrs."	"Owen, Octavius Freire"
"Goulding, F. R. (Francis Robert),"	"Goulding, F. R"
"(Hilda Doolittle), H. D."	"H. D"
"Howell, H. D. (Harry D.)"	"H. D"
"(George John), Whyte-Melville, G. J."	"Whyte-Melville, G. J"
"Whyte-Melville, G. J. (George John),"	"Whyte-Melville, G. J"
"Buchan, John."	"Buchan, John"
"Mrs., Craik, Dinah Maria (Mulock),"	"Craik, Dinah Maria Mulock"
"Gray, Charles Wright."	"Gray, Charles Wright"
"(James Brendan), Connolly, James B."	"Connolly, James B"
"Connolly, James Brendon,"	"Connolly, James B"
"Connolly, James B. (James Brendan),"	"Connolly, James B"
"Bradley, Mary E. (Mary Emily)"	"Bradley, Mary E"
"(Mary Emily), Bradley, Mary E."	"Bradley, Mary E"
"Bradley, Mary E. (Mary Emily),"	"Bradley, Mary E"
"Minster, Annie Maria."	"Minster, Annie Maria"
"(Charles William), Bardeen, C. W."	"Bardeen, C. W. (Charles William)"
"Kaye-Smith, Sheila."	"Kaye-Smith, Sheila"
"Mrs., Praed, Campbell,"	"Praed, Campbell"
"Praed, Campbell, Mrs.,"	"Praed, Campbell"
"Wood, H. F. (H. Freeman)"	"Wood, H. F"
"Pinkney, Jane Vaughan."	"Pinkney, Jane Vaughan"
"Wodehouse, P. G. (Pelham Grenville),"	"Wodehouse, P. G"
"(Pelham Grenville), Wodehouse, P. G."	"Wodehouse, P. G"
"Weitzel, Sophie Winthrop."	"Weitzel, Sophie Winthrop"
"Goodwin, H. B. (Hannah Bradbury),"	"Goodwin, H. B"
"(Hannah Bradbury), Goodwin, H. B."	"Goodwin, H. B"
"Chetwynd, Henry Wayland, Mrs.,"	"Chetwynd, Henry Wayland"
"Mrs., Chetwynd, Henry Wayland,"	"Chetwynd, Henry Wayland"
"Vandegrift, Margaret."	"Vandegrift, Margaret"
"Macaulay, Rose."	"Macaulay, Rose"
"Lady, Chatterton, Georgiana,"	"Chatterton, Georgiana"
"Chatterton, Georgiana, Lady,"	"Chatterton, Georgiana"
"Denison, Mary A. (Mary Andrews),"	"Denison, Mary A"
"(Mary Andrews), Denison, Mary A."	"Denison, Mary A"
"Alexander, Mrs.,"	"Alexander, Mrs"
"Henty, G. A. (George Alfred),"	"Henty, G. A"
"(George Alfred), Henty, G. A."	"Henty, G. A"
"Sanborn, Gertrude."	"Sanborn, Gertrude"
"Hormel, Olive Deane."	"Hormel, Olive Deane"
"Arlen, Michael."	"Arlen, Michael"
"Garvice, Charles."	"Garvice, Charles"
"Mackenzie, Compton, Sir,"	"Mackenzie, Compton"
"Sir, Mackenzie, Compton,"	"Mackenzie, Compton"
"Kingsbury, Carl Louis."	"Kingsbury, Carl Louis"
"Whishaw, Frederick."	"Whishaw, Frederick"
"Barnes, Djuna."	"Barnes, Djuna"
"Belfast, Frederick Richard Chichester, Lord."	"Belfast, Frederick Richard Chichester"
"Newgeon, Walter Bliss."	"Newgeon, Walter Bliss"
"Baskerville, Beatrice C."	"Baskerville, Beatrice C"
"Maniates, Belle Kanaris."	"Maniates, Belle Kanaris"
"(Alice Mangold), Diehl, Alice M."	"Diehl, Alice M"
"Diehl, Alice M. (Alice Mangold),"	"Diehl, Alice M"
"Diehl, Alice Mangold,"	"Diehl, Alice M"
"Richardson, Dorothy M. (Dorothy Miller),"	"Richardson, Dorothy M"
"Richardson, Dorothy Miller,"	"Richardson, Dorothy M"
"(Dorothy Miller), Richardson, Dorothy M."	"Richardson, Dorothy M"
"Dern, Peggy."	"Dern, Peggy"
"Comstock, Sarah."	"Comstock, Sarah"
"Arnold, Augustus C. L.,"	"Arnold, Augustus C. L"
"Thruston, Lucy Meacham Kidd, Mrs.,"	"Thruston, Lucy Meacham (Kidd)"
"Mrs., Thruston, Lucy Meacham Kidd,"	"Thruston, Lucy Meacham (Kidd)"
"Thruston, Lucy Meacham (Kidd), Mrs.,"	"Thruston, Lucy Meacham (Kidd)"
"Thruston, Lucy Meacham Kidd,"	"Thruston, Lucy Meacham (Kidd)"
"Forrester, Mrs."	"Forrester, Mrs"
"Brown, Zenith Jones, Mrs.,"	"Brown, Zenith Jones, Mrs"
"Stockton, Frank R.,"	"Stockton, Frank R"
"Stockton, Frank Richard,"	"Stockton, Frank R"
"Murray, Charles Augustus, Sir,"	"Murray, Charles Augustus"
"Sir, Murray, Charles Augustus,"	"Murray, Charles Augustus"
"Brown, William Horace."	"Brown, William Horace"
"Morse, Eleanor."	"Morse, Eleanor"
"Hough, Frank Olney."	"Hough, Frank O"
"Eldershaw, M. Barnard."	"Eldershaw, M. Barnard"
"Stone, Caroline R."	"Stone, Caroline R"
"Mottram, R. H. (Ralph Hale),"	"Mottram, R. H"
"(Ralph Hale), Mottram, R. H."	"Mottram, R. H"
"Hazlett, Helen."	"Hazlett, Helen"
"Mrs., Hall, S. C.,"	"Hall, S. C"
"Hall, S. C., Mrs.,"	"Hall, S. C"
"Holland, J. G. (Josiah Gilbert),"	"Holland, J. G"
"Warfield, Catherine Ann (Catherine Ann Ware),"	"Warfield, Catherine Ann Ware"
"Smith, Constance."	"Smith, Constance"
"Bain, F. W. (Francis William),"	"Bain, F. W"
"(Francis William), Bain, F. W."	"Bain, F. W"
"Bain, F. W."	"Bain, F. W"
"Douglas, Amanda M.,"	"Douglas, Amanda Minnie"
"Cummins, Maria S. (Maria Susanna),"	"Cummins, Maria S"
"James, Winifred."	"James, Winifred"
"(Robert Michael), Ballantyne, R. M."	"Ballantyne, R. M"
"Ballantyne, R. M."	"Ballantyne, R. M"
"Ballantyne, R. M. (Robert Michael),"	"Ballantyne, R. M"
"Drury, Anna H. (Anna Harriet)"	"Drury, Anna H"
"(Anna Harriet) Drury, Anna H."	"Drury, Anna H"
"Drury, Anna Harriet."	"Drury, Anna H"
"Drury, Anna H."	"Drury, Anna H"
"Waugh, Evelyn."	"Waugh, Evelyn"
"Chandler, W. A."	"Chandler, W. A"
"Walpole, Hugh, Sir,"	"Walpole, Hugh"
"Sir, Walpole, Hugh,"	"Walpole, Hugh"
"Buxton, Bertha H. (Leopold),"	"Buxton, B. H"
"Luke, Jemima (Thompson)"	"Luke, Jemima Thompson"
"Von Hutten, Bettina,"	"Von Hutten, Bettina Ridd"
"Alexander, Mirian."	"Alexander, Mirian"
"(James Farl), Powers, J. F."	"Powers, J.F"
"Jokai, Mor,"	"Jokai, Mór"
"Goulding, F. R. (Francis Robert),"	"Goulding, F. R"
"Paull, Margaret Agnes."	"Paull, M. A"
"Mordaunt, Elinor,"	"Elinor Mordaunt"
"Aïdé, Hamilton,"	"Aïdé, Hamilton"
"Stribling, T. S. (Thomas Sigismund),"	"Stribling, T.S"
"Conybeare, William John,"	"Conybeare, William John"
"(Emanuel), Haldeman-Julius, E."	"Haldeman-Julius, Emanuel"
"McFee, William,"	"William McFee"
"Bothmer, Marie, Gräfin von,"	"Bothmer, Marie"
"Forster, E. M. (Edward Morgan),"	"Forster, E.M"
"Forster, E. M."	"Forster, E.M"
"Oppenheim, E. Phillips (Edward Phillips),"	"Oppenheim, E Phillips"
"Baroness. Blaze de Bury, Marie,"	"Blaze de Bury, Marie Pau"
"Warburton, Eliot, i.e. Bartholomew Elliott George,"	"Warburton, Eliot"
