,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
62531,uc1.b3727183|MissBer,uc1.b3727183,1951,f,"Parker, James Reid,",Open house; | $c: illustrated by Leonard Shorthall.,m,,1951,f,0
66986,uc1.b4082122|Maureen,uc1.b4082122,1960,f,"Garve, Andrew,","The far sands,",m,,1960,f,0
66448,uc1.$b114432|MissTaylor,uc1.$b114432,1962,f,"Singleton, Ralph H.",Two and twenty; | a collection of short stories.,m,,1962,f,0
54369,uc1.$b301187|MarieAntoinette,uc1.$b301187,1931,f,"Loving, Pierre,",Gardener of evil : | a portrait of Baudelaire & his times / | $c: by Pierre Loving,m,,1931,f,0
66198,mdp.39015014858180|MrsRaggs,mdp.39015014858180,1960,f,"Swinnerton, Frank,",The Grace divorce.,m,,1960,f,0
70484,mdp.39015059706278|Kamala,mdp.39015059706278,1971,f,"Bartholomeusz, Mark.",Of love and squalor & other stories.,m,,1971,f,0
19118,1842|Mary,1842,1842,f,"Dickens, Charles,",The posthumous papers of the Pickwick Club,m,,1842,f,0
73972,uc1.b4432418|Jennie,uc1.b4432418,1987,f,"Bergon, Frank.",Shoshone Mike / | $c: Frank Bergon.,m,,1987,f,0
71868,inu.30000120823095|Brooke,inu.30000120823095,1975,f,"Lord, Graham,",The spider and the fly.,m,,1975,f,0
43328,nyp.33433075806327|Alexandrine,nyp.33433075806327,1908,f,"Bascle de Lagrèze, Gaston,",For My name's sake;,m,,1908,f,0
78118,mdp.39015045680975|Nancy,mdp.39015045680975,1998,f,"Cheuse, Alan.",Lost and old rivers : | stories / | $c: by Alan Cheuse.,m,,1998,f,0
74812,mdp.39015012306646|Louis,mdp.39015012306646,1986,f,"Kinsella, W. P.",The Fencepost chronicles / | $c: W.P. Kinsella.,m,,1986,f,0
42542,uc2.ark+=13960=t29883p04|Nan,uc2.ark+=13960=t29883p04,1908,f,"Cable, George Washington,",Kincaid's battery,m,,1908,f,0
74379,mdp.39076000450838|Clarisse,mdp.39076000450838,1981,f,"Bradbury, Ray,",Fahrenheit 451 / | $c: Ray Bradbury.,m,,1981,f,0
74774,mdp.39015019192759|MrsCarron-Wilson,mdp.39015019192759,1985,f,"Blythe, Ronald,",The stories of Ronald Blythe.,m,,1985,f,0
51287,nyp.33433074892716|Pope,nyp.33433074892716,1920,f,"Maxwell, W. B. (William Babington),","For better, for worse",m,,1920,f,0
62929,uc1.32106002008297|Mrs.Wentworth,uc1.32106002008297,1955,f,"Powell, Anthony,",A dance to the music of time: | A question of upbringing. A buyer's market. The acceptance world.,m,,1955,f,0
71900,mdp.39015020734268|Susan,mdp.39015020734268,1971,f,"Stegner, Wallace,",Angle of repose | $c: [by] Wallace Stegner. -,m,,1971,f,0
50075,mdp.39015030735248|MissAlmy,mdp.39015030735248,1924,f,"Beer, Thomas,","Sandoval; | a romance of bad manners, | $c: by Thomas Beer.",m,,1924,f,0
47542,uc2.ark+=13960=t00z74341|Mary,uc2.ark+=13960=t00z74341,1916,f,"McFee, William,",Casuals of the sea;,m,,1916,f,0
3139,13137|Emily,13137,1800,f,"Kendall, Edward Augustus,","The stories of Senex, or, Little histories of little people",m,,1800,f,0
66594,uc1.$b391207|Elizabeth,uc1.$b391207,1969,f,"Wilson, Angus,",Death dance; | twenty-five stories.,m,,1969,f,0
50766,nyp.33433075768592|Sonia,nyp.33433075768592,1921,f,"Williamson, C. N. (Charles Norris),",The great pearl secret,m,,1921,f,0
57957,uc1.$b86017|Mrs.Pearson,uc1.$b86017,1947,f,"Binns, Archie,",You rolling river.,m,,1947,f,0
70746,mdp.39015034650195|MrsNagayama,mdp.39015034650195,1979,f,"Endō, Shūsaku,",When I whistle : | a novel / | $c: Shusaku Endo ; translated by Van C. Gessel.,m,,1979,f,0
67544,uc1.$b103918|Martha,uc1.$b103918,1960,f,"McMurry, George H.",The call to Murralla.,m,,1960,f,0
46418,nyp.33433076045883|MissFlinn,nyp.33433076045883,1910,f,"Miller, Henry Russell,",The man higher up,m,,1910,f,0
39623,13386|Mrs.Garland,13386,1899,f,"Hardy, Thomas,",[Works],m,,1899,f,0
54351,mdp.39015002753351|Mrs.Witherspoon,mdp.39015002753351,1931,f,"Hon., Sackville-West, Edward,",Simpson : | a life.,m,,1931,f,0
19540,7067|Payan,7067,1844,f,"James, G. P. R. (George Payne Rainsford),","The works of G.P.R. James, esq",m,,1844,f,0
27177,11288|Madeline,11288,1867,f,"Kennedy, Samuel M.",First loves;,m,,1867,f,0
38368,11345|Anne,11345,1895,f,"Crockett, S. R. (Samuel Rutherford),",The men of the Moss Hags,m,,1895,f,0
