volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
10788|FannyFauvette,1860,1860,0,1860,f,,1.0000000000000009,0.664425065831,1,1,"Brewster, Anne M. H. (Anne Maria Hampton),","Compensation; or, Always a future",f
10791|Philip,1866,1866,0,1866,m,,1.0000000000000049,0.59931653914,0,1,"Brewster, Anne M. H. (Anne Maria Hampton),",St. Martin's summer,m
107|Sewell,1833,1833,0,1833,m,,0.9999999999999999,0.591874511543,0,1,"Martineau, Harriet,",Poor laws and paupers illustrated,m
10820|MissBrotherton,1840,1840,0,1840,f,,0.9999999999999978,0.403969696452,1,1,"Trollope, Frances Milton,","Life and adventures of Michael Armstrong, the factory boy",f
10820|Mrs.Sykes,1840,1840,0,1840,f,,0.9999999999999996,0.289017678333,1,1,"Trollope, Frances Milton,","Life and adventures of Michael Armstrong, the factory boy",f
10832|Mr.Dalton,1863,1863,0,1863,m,,1.0000000000000013,0.609106601064,0,1,"Trowbridge, Catharine M. (Catharine Maria),","Frank and Rufus, or, Obedience and disobedience",m
10864|LeTisseur,1834,1834,0,1834,m,,0.9999999999999996,0.415614976047,0,1,"Baron, Lytton, Edward Bulwer Lytton,",The pilgrims of the Rhine,m
1088|Mary,1858,1858,0,1858,f,,0.9999999999999994,0.841197218013,1,1,"Fullerton, Georgiana, Lady,",The countess de Bonneval,f
1089|Bernard,1854,1854,0,1854,m,,1.0000000000000089,0.437176211874,0,1,"Sheppard, Elizabeth Sara,","Counterparts, or, The cross of love",m
108|Napoleon,1892,1892,0,1892,m,,0.9999999999999993,0.48479019474,0,1,"King, Grace Elizabeth,",Tales of a time and place,m
10908|Dora,1899,1899,0,1899,f,,0.9999999999999996,0.259898514326,1,1,"Rauschenbusch-Clough, Emma.",While sewing sandals,f
10941|Claudo,1865,1865,0,1865,f,,0.9999999999999994,0.882444190921,1,1,"Thomas, Annie,",[Selected works],f
10941|Grace,1865,1865,0,1865,f,,0.9999999999999999,0.508757681537,1,1,"Thomas, Annie,",[Selected works],f
10941|LordAllon,1865,1865,0,1865,m,,0.9999999999999998,0.257404133237,0,1,"Thomas, Annie,",[Selected works],m
10941|Mr.St.John,1865,1865,0,1865,m,,0.9999999999999997,0.67814143024,0,1,"Thomas, Annie,",[Selected works],m
10949|Mr.Coleman,1886,1886,0,1886,m,,1.0,0.417275024444,0,1,"Walker, Mary Spring.",The Rev. Dr. Willoughby and his wine,m
10955|MissGrey,1870,1870,0,1870,f,,0.999999999999998,0.762851911881,1,1,"Kavanagh, Julia,",Silvia,f
10990|Mrs.Bedott,1856,1856,0,1856,f,,1.0,0.835403978255,1,1,"Whitcher, Frances M.,",The widow Bedott papers,f
11004|MaryChristie,1862,1862,0,1862,f,,1.0000000000000002,0.630816707681,1,1,"Elliott, E. S. (Emily Steele),",Father's coming home,f
11006|Ned,1819,1819,0,1819,m,,0.9999999999999993,0.0598537238272,0,1,"Elliott, Mary,",The rambles of a butterfly,m
11016|Sarah,1889,1889,0,1889,f,,0.9999999999999992,0.694715839233,1,1,"Barr, Amelia Edith Huddleston,",Between two loves,f
11024|MissSeymour,1850,1850,0,1850,f,,1.0000000000000004,0.672760895605,1,1,"Haven, Alice B. (Alice Bradley),",The gossips of Rivertown;,f
11038|Mrs.Leroy,1857,1857,0,1857,f,,1.0000000000000007,0.263847499741,1,1,"Cummins, Maria S. (Maria Susanna),",Mabel Vaughan,f
11039|Philip,1871,1871,0,1871,m,,0.9999999999999999,0.188933530013,0,1,"Currier, Sophronia.",By the sea,m
11046|Caesar,1870,1870,0,1870,m,,1.0000000000000007,0.435230401447,0,1,"Charles, Elizabeth Rundle,",The victory of the vanquished,m
11047|Richard,1864,1864,0,1864,m,,1.0000000000000007,0.355190173002,0,1,"Charles, Elizabeth Rundle,",The early dawn;,m
1105|Jim,1884,1884,0,1884,m,,1.0000000000000007,0.209158085263,0,1,"Holmes, Mary Jane,",Christmas stories,m
11065|Charles,1836,1836,0,1836,m,,1.0000000000000007,0.514416541898,0,1,"Mrs. Hofland, (Barbara),","Ellen, the teacher",m
11075|Charles,1886,1886,0,1886,m,,0.999999999999991,0.436836310611,0,1,"Balzac, Honoré de,",Eugénie Grandet,m
11075|Eugenie,1886,1886,0,1886,f,,1.0000000000000047,0.726667206419,1,1,"Balzac, Honoré de,",Eugénie Grandet,f
1108|MissWilliams,1865,1865,0,1865,f,,1.000000000000001,0.532816502656,1,1,"Yonge, Charlotte Mary,",The clever woman of the family,f
11093|MissFeatherstone,1871,1871,0,1871,f,,0.9999999999999992,0.565227236974,1,1,"Mrs., Brock, Carey,",James Gordon's wife,f
1109|Duke,1824,1824,0,1824,f,,1.0000000000000004,0.835812921482,1,1,"Mrs. Mason, Catherine George (Ward)",The mysterious marriage;,f
1109|LordFitzos,1824,1824,0,1824,m,,1.0000000000000002,0.829649364497,0,1,"Mrs. Mason, Catherine George (Ward)",The mysterious marriage;,m
1109|Mrs.Wiggins,1824,1824,0,1824,f,,1.0000000000000004,0.331328857156,1,1,"Mrs. Mason, Catherine George (Ward)",The mysterious marriage;,f
11110|Bob,1866,1866,0,1866,m,,0.9999999999999996,0.395625074152,0,1,"Mrs., Wood, Henry,",Elster's folly,m
11126|Christopher,1886,1886,0,1886,m,,0.9999999999999993,0.56521518411,0,1,"Ewing, Juliana Horatia Gatty,",Mary's meadow and Letters from a little garden,m
11128|Mildred,1899,1899,0,1899,f,,1.0,0.464037192814,1,1,"Fuller, Caroline M.",Across the campus,f
1112|TillieTexas,1886,1886,0,1886,f,,1.0000000000000004,0.899196829426,1,1,"Richards, Laura Elizabeth Howe,","Four feet, two feet, and no feet",f
1112|Tommy,1886,1886,0,1886,m,,0.9999999999999988,0.508256497391,0,1,"Richards, Laura Elizabeth Howe,","Four feet, two feet, and no feet",m
11133|Mrs.Grimes,1853,1853,0,1853,f,,0.9999999999999993,0.636008442518,1,1,"Collins, A. Maria (Anna Maria)",Mrs. Ben Darby,f
11135|PhilipConyers,1838,1838,0,1838,m,,1.0000000000000016,0.18324726138,0,1,"Pickering, Ellen,",The squire,m
11136|Brian,1829,1829,0,1829,m,,1.0000000000000016,0.343716388614,0,1,"Mrs., Hall, S. C.,",Sketches of Irish character,m
11136|Ned,1829,1829,0,1829,m,,0.9999999999999986,0.511743344263,0,1,"Mrs., Hall, S. C.,",Sketches of Irish character,m
11136|PaddyMulvany,1829,1829,0,1829,m,,1.0000000000000002,0.375643589194,0,1,"Mrs., Hall, S. C.,",Sketches of Irish character,m
11141|Alfred,1866,1866,0,1866,m,,0.9999999999999939,0.519081750014,0,1,"Fisher, Mary A. (Mary Ann),",A spinster's story,m
1116|Mr.Gale,1849,1849,0,1849,m,,1.0,0.401347503982,0,1,"Brontë, Charlotte,",Shirley,m
11191|Ruth,1897,1897,0,1897,f,,0.9999999999999957,0.684567518308,1,1,"Harland, Marion,",Ruth Bergen's limitations;,f
11203|Dubois,1865,1865,0,1865,m,,0.9999999999999989,0.169958785584,0,1,"Child, Lydia Maria,",Looking toward sunset,m
11218|Mrs.Hastings,1823,1823,0,1823,f,,1.0000000000000013,0.627159782732,1,1,"Mrs. Hofland, (Barbara),",Integrity,f
11219|Harriet,1825,1825,0,1825,f,,1.000000000000001,0.518989224903,1,1,"Mrs. Hofland, (Barbara),",Moderation,f
11238|MissBrown,1876,1876,0,1876,f,,0.9999999999999988,0.600766619656,1,1,"Aguilar, Grace,",Home scenes and heart studies,f
11239|FredericStephenson,1840,1840,0,1840,m,,1.0,0.345608590754,0,1,"Trollope, Frances Milton,",The widow Barnaby,m
11245|DeaconSmith,1853,1853,0,1853,m,,0.9999999999999996,0.510568242827,0,1,"Fern, Fanny,",Fern leaves from Fanny's port-folio,m
11245|Mr.Glen,1853,1853,0,1853,m,,0.9999999999999996,0.4800975086,0,1,"Fern, Fanny,",Fern leaves from Fanny's port-folio,m
11248|MissMellon,1839,1839,0,1839,f,,0.9999999999999899,0.548143717543,1,1,"""Mrs. Cornwell Baron-Wilson,"", Wilson, Margaret Harries Baron,","Memoirs of Harriot, duchess of St. Albans",f
11248|Mr.Raymond,1839,1839,0,1839,m,,0.9999999999999996,0.206583586335,0,1,"""Mrs. Cornwell Baron-Wilson,"", Wilson, Margaret Harries Baron,","Memoirs of Harriot, duchess of St. Albans",m
11258|Arthur,1856,1856,0,1856,m,,1.0,0.252543003078,0,1,"Ritchie, Anna Cora Ogden Mowatt,",Mimic life;,m
1125|MrsLawrenceHervey,1830,1830,0,1830,f,,0.9999999999999994,0.345595482215,1,1,"Jewsbury, Maria Jane,",The three histories,f
11285|FredGrowing,1881,1881,0,1881,m,,0.9999999999999997,0.507644316017,0,1,"Smith, Fannie N.","Peace Pelican, spinster",m
11286|Estmere,1869,1869,0,1869,m,,1.0000000000000002,0.322292291519,0,1,"Ouida,",Tricotrin,m
11304|Johann,1892,1892,0,1892,m,,1.0000000000000004,0.359129932573,0,1,"Vely, E.,",True daughter of Hartenstein,m
11304|Joseph,1892,1892,0,1892,m,,1.0000000000000016,0.368589235874,0,1,"Vely, E.,",True daughter of Hartenstein,m
11349|Clarissa,1845,1845,0,1845,f,,1.0000000000000004,0.672178934095,1,1,"Kirkland, Caroline M. (Caroline Matilda),",Western clearings,f
11349|Mr.Coddington,1845,1845,0,1845,m,,0.9999999999999999,0.192031494353,0,1,"Kirkland, Caroline M. (Caroline Matilda),",Western clearings,m
11349|Mrs.Ashburn,1845,1845,0,1845,f,,1.0,0.695970691705,1,1,"Kirkland, Caroline M. (Caroline Matilda),",Western clearings,f
11356|Mrs.Spenser,1841,1841,0,1841,f,,1.0000000000000004,0.461049281041,1,1,"Howitt, Mary Botham,",Strive and thrive,f
11396|Jerome,1810,1810,0,1810,m,,0.9999999999999986,0.234860763481,0,1,"Roche, Regina Maria,","The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale",m
11396|Lara,1810,1810,0,1810,m,,0.9999999999999996,0.31143583475,0,1,"Roche, Regina Maria,","The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale",m
11396|Olivia,1810,1810,0,1810,f,,1.0000000000000009,0.405337536231,1,1,"Roche, Regina Maria,","The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale",f
11414|Herbert,1835,1835,0,1835,m,,1.0000000000000009,0.451412290535,0,1,"Sedgwick, Catharine Maria,",The Linwoods;,m
11414|MissLinwood,1835,1835,0,1835,f,,1.0000000000000007,0.392105968161,1,1,"Sedgwick, Catharine Maria,",The Linwoods;,f
11419|Catherine,1874,1874,0,1874,f,,0.999999999999999,0.435133712729,1,1,"Guernsey, Lucy Ellen,",Lady Rosamond's book,f
11419|Richard,1874,1874,0,1874,m,,0.9999999999999991,0.649417556371,0,1,"Guernsey, Lucy Ellen,",Lady Rosamond's book,m
11425|Rosalie,1833,1833,0,1833,f,,0.9999999999999993,0.878021848722,1,1,"Leslie, Eliza,",Atlantic tales,f
11431|Donovan,1890,1890,0,1890,m,,0.9999999999999847,0.426498469253,0,1,"Bayly, Ada Ellen,",Donovan,m
11437|Louisa,1865,1865,0,1865,f,,1.0000000000000042,0.621886225673,1,1,"Jenkin, C. (Camilla),",Once and again,f
11443|Alice,1895,1895,0,1895,f,,0.9999999999999996,0.561023392784,1,1,"Austin, Jane G.",Standish of Standish,f
11452|Mr.Win,1890,1890,0,1890,m,,0.9999999999999989,0.660957591682,0,1,"Earle, Anne Richardson.",Her great ambition,m
11460|Baldwin,1826,1826,0,1826,m,,1.0000000000000004,0.509031444072,0,1,"Porter, Jane,",Tales round a winter hearth,m
11460|Malcolm,1826,1826,0,1826,m,,0.9999999999999972,0.526159934238,0,1,"Porter, Jane,",Tales round a winter hearth,m
11476|Madeline,1853,1853,0,1853,f,,0.9999999999999997,0.684685390231,1,1,"Leslie, Eliza,",Stories for summer days and winter nights,f
11477|MasterSaxby,1880,1880,0,1880,m,,1.000000000000001,0.347479193871,0,1,"Leslie, Emma.",Saxby: a tale of old and new England,m
11480|Mortimer,1855,1855,0,1855,m,,1.0000000000000004,0.43605035273,0,1,"Leslie, Madeline,","Cora and the doctor; or, Revelations of a physician's wife",m
11503|Mrs.Nettley,1856,1856,0,1856,f,,0.9999999999999983,0.787268673709,1,1,"Warner, Susan,",The hills of the Shatemuc,f
11503|Winthrop,1856,1856,0,1856,m,,1.0000000000000036,0.441743986873,0,1,"Warner, Susan,",The hills of the Shatemuc,m
11510|LadyRoskelyn,1844,1844,0,1844,f,,0.9999999999999993,0.615580004921,1,1,"Helme, Elizabeth,","St. Clair of the isles, or, The outlaws of Barra",f
11510|Monteith,1844,1844,0,1844,m,,0.9999999999999979,0.36264312706,0,1,"Helme, Elizabeth,","St. Clair of the isles, or, The outlaws of Barra",m
11529|BigGeorge,1882,1882,0,1882,m,,1.0,0.536754231344,0,1,"Ouida,",Bimbi,m
11536|Mortimer,1885,1885,0,1885,m,,1.0000000000000002,0.517512908377,0,1,"Giberne, Agnes,","Gwendoline; or, Halcots and Halcombes",m
11551|Margaret,1841,1841,0,1841,f,,1.0000000000000007,0.616648934723,1,1,"Hockley, W. B. (William Browne),",The widow of Calcutta;,f
11551|Mr.Norman,1841,1841,0,1841,m,,0.9999999999999997,0.552173617699,0,1,"Hockley, W. B. (William Browne),",The widow of Calcutta;,m
11552|Reuben,1858,1858,0,1858,m,,1.0000000000000009,0.450353245986,0,1,"Janvrin, Mary W. (Mary Wolcott),",Peace,m
11584|Mrs.Parkins,1846,1846,0,1846,f,,1.0000000000000004,0.552980009125,1,1,"Leslie, Eliza,",The young revolutionists,f
11624|Ronald,1827,1827,0,1827,m,,1.0000000000000016,0.388700546243,0,1,"Opie, Amelia Alderson,",Madeline,m
11629|Carlton,1877,1877,0,1877,m,,1.0,0.126097902562,0,1,"Bruner, Jane W.",Free prisoners,m
11655|Bill,1857,1857,0,1857,m,,1.0000000000000007,0.225926091065,0,1,"Bigelow, Harriet Hamline.",The curse entailed,m
11655|Nancy,1857,1857,0,1857,f,,1.0,0.545974004625,1,1,"Bigelow, Harriet Hamline.",The curse entailed,f
11684|Mattie,1877,1877,0,1877,m,,0.9999999999999996,0.48187034915,0,1,"Mrs. Sanford, D. P.,",Frisk and his flock,m
11688|MissRosalie,1892,1892,0,1892,f,,0.9999999999999992,0.405354780849,1,1,"Mrs. Henderson, S. E.,",Jelard,f
11688|Rosalie,1892,1892,0,1892,f,,1.0000000000000056,0.641911234018,1,1,"Mrs. Henderson, S. E.,",Jelard,f
1168|Hugh,1857,1857,0,1857,m,,0.9999999999999993,0.384376048434,0,1,"Cornish, Miss.",Northwode priory,m
1168|Jessie,1857,1857,0,1857,f,,0.9999999999999993,0.572084597552,1,1,"Cornish, Miss.",Northwode priory,f
1168|MissClayton,1857,1857,0,1857,f,,1.0000000000000007,0.867411677617,1,1,"Cornish, Miss.",Northwode priory,f
11692|LadyHilda,1893,1893,0,1893,f,,0.9999999999999968,0.740109929088,1,1,"Brame, Charlotte M.,","Hilda, or, The false vow",f
11694|SusanAikin,1836,1836,0,1836,f,,0.9999999999999996,0.416533443675,1,1,"Sedgwick, Catharine Maria,","The poor rich man, and the rich poor man",f
11694|William,1836,1836,0,1836,m,,0.9999999999999996,0.485771700735,0,1,"Sedgwick, Catharine Maria,","The poor rich man, and the rich poor man",m
11707|Mrs.Bird,1852,1852,0,1852,f,,0.9999999999999991,0.420650508406,1,1,"Stowe, Harriet Beecher,","Uncle Tom's cabin; or, Life among the lowly",f
1174|Mrs.Doughty,1886,1886,0,1886,f,,1.0000000000000004,0.824518847297,1,1,"[Talbot, Hannah Lincoln]",Not in the prospectus,f
11763|Mr.Parker,1889,1889,0,1889,m,,0.9999999999999996,0.349481816394,0,1,"Pirkis, Catherine Louisa,",At the moment of victory,m
1176|Harriet,1891,1891,0,1891,f,,0.9999999999999997,0.640117125859,1,1,"Donelson, Katharine.",Rodger Latimer's mistake,f
11770|Honora,1881,1881,0,1881,f,,1.0000000000000004,0.706536381559,1,1,"Mrs., Hunt, Alfred William,",The leaden casket,f
11773|Matthew,1866,1866,0,1866,m,,1.0000000000000009,0.266752358022,0,1,"Lady, Fullerton, Georgiana,",Laurentia,m
