word,docfreq
bedroom,86
satisfaction,86
was-please,86
requested,86
veins,86
afford,86
was-tired,86
partner,86
content,86
surprised,86
intentions,86
learn,86
duties,86
rest,86
was-prevent,86
rolled,86
maid,86
things,86
idea,85
recovery,85
study,85
leaving,85
belonged,85
was-dressed,85
tore,85
alive,85
attachment,85
command,85
was-inclined,84
persisted,84
was-interrupted,84
was-regarded,84
was-stopped,84
reason,84
needs,84
dreamed,84
movements,84
close,84
giving,84
lives,83
gasped,83
act,83
baby,83
assumed,83
feels,83
was-greeted,83
drank,83
people,83
was-addressing,83
pursued,83
clung,83
was-come,82
was-visit,82
was-filled,82
suffering,82
was-warned,82
was-satisfied,82
agitation,82
assistance,82
pleaded,82
pockets,82
entertained,81
entreated,81
full,81
curiosity,81
was-concerned,81
complained,81
disappointment,81
attentions,81
was-shocked,81
join,81
betrayed,81
success,81
cry,81
sick,81
roused,80
saved,80
gratitude,80
was-join,80
anticipated,80
playing,80
was-roused,80
imagine,80
rested,80
plate,80
follow,80
was-moved,80
telling,80
engaged,80
gives,80
was-induced,79
capable,79
forgive,79
rising,79
descended,79
was-advised,79
leaning,79
little,79
emotions,79
neighbours,79
pronounced,79
friendship,79
shrank,79
writing,79
waist,79
wont,79
sentiments,78
was-inform,78
wonder,78
breakfast,78
dressed,78
bag,78
condition,78
property,78
was-resolved,78
path,78
wound,78
point,78
colour,78
remark,78
engagement,78
was-introduced,78
night,78
was-puzzled,78
sobbed,77
was-understood,77
was-thank,77
checked,77
was-begged,77
loss,77
astonishment,77
folded,77
yielded,77
calm,77
conceived,77
covered,77
birth,77
begin,77
station,76
suppose,76
year,76
grasped,76
studied,76
questions,76
mood,76
history,76
suspicions,76
education,76
open,76
was-rejoined,76
was-killed,76
seek,76
was-affected,76
persuaded,76
working,76
task,76
screamed,75
choose,75
stomach,75
strove,75
impatience,75
grave,75
decision,75
career,75
thrust,75
delight,75
responded,75
daughters,75
prayed,75
purse,75
pen,74
principles,74
was-felt,74
sisters,74
dying,74
was-frightened,74
was-demanded,74
swung,74
was-helped,74
woke,74
endured,74
weakness,74
mistaken,74
was-recognised,74
parted,74
approach,74
was-want,74
noted,73
was-repeated,73
stole,73
laugh,73
picture,73
cloak,73
employed,73
break,73
creature,73
was-drawn,73
happened,73
ride,73
wiped,73
proved,73
was-acquainted,73
grandmother,73
explain,73
owned,72
was-compelled,72
regret,72
welcome,72
complexion,72
planned,72
was-disappointed,72
fought,72
tossed,72
absent,72
boots,72
habits,72
was-amused,72
lie,72
was-murmured,71
sufferings,71
spend,71
paced,71
was-forgotten,71
drawn,71
seeing,71
putting,71
ways,71
course,71
eyelids,71
was-was,71
ended,71
was-convince,70
carry,70
sunk,70
something,70
was-pushed,70
was-sat,70
men,70
service,70
please,70
misery,70
neighbour,70
distress,70
wearing,70
rubbed,70
resist,70
rang,69
habit,69
eat,69
visitor,69
was-remarked,69
manage,69
was-cut,69
s,69
start,69
shot,69
enjoy,69
shared,69
limbs,69
encountered,69
was-pulled,68
safety,68
rejoiced,68
grateful,68
was-surrounded,68
garden,68
hid,68
frowned,68
questioned,68
lot,68
was-thrown,68
hours,67
dislike,67
flushed,67
filled,67
wear,67
spread,67
risen,67
danced,67
was-assist,67
morning,67
sleeping,67
mad,67
quiet,67
refuse,67
accompany,66
was-presented,66
was-summoned,66
temples,66
studies,66
sang,66
was-questioned,66
sympathy,66
folly,66
guardian,66
was-show,66
acquired,66
finds,66
was-carry,66
was-blame,66
was-saved,66
was-beheld,65
regard,65
accept,65
darted,65
birthday,65
behaved,65
introduced,65
lord,65
enemy,65
cross,65
dismissed,65
doubt,65
deny,65
faith,65
was-pressed,65
mounted,65
retorted,65
was-kill,65
remarks,65
vanity,65
was-failed,65
becoming,64
rejoined,64
coloured,64
beat,64
endure,64
indignation,64
fist,64
chance,64
faced,64
realise,64
commenced,64
fool,64
orders,64
mention,64
occupied,64
was-comfort,64
faults,63
was-hold,63
required,63
smiles,63
shirt,63
bestowed,63
greeted,63
was-supposed,63
warned,63
was-laid,63
world,63
broken,63
judged,63
built,63
bedside,63
relations,63
was-disturbed,63
produced,63
stirred,63
rise,62
future,62
retreated,62
assented,62
handsome,62
was-admitted,62
patient,62
protection,62
prospects,62
was-tempted,62
strong,62
shivered,62
last,62
drawing,62
cleared,62
dinner,62
permitted,62
directed,62
argued,62
stammered,62
lead,62
relief,61
commanded,61
was-shook,61
exertions,61
aid,61
interview,61
beautiful,61
stumbled,61
was-holding,61
running,61
wrist,61
keeping,61
box,61
hostess,61
pain,61
recollection,61
hurt,61
disliked,61
avoid,61
pipe,61
tones,61
end,60
was-seek,60
was-missed,60
vision,60
note,60
control,60
sentence,60
impulse,60
was-touch,60
prove,60
was-has,60
was-began,60
invitation,60
was-resumed,60
was-answer,60
cares,60
fainted,60
