word,docfreq
start,72
complained,72
fault,72
limbs,72
lie,72
straightened,71
mood,71
charge,71
was-hit,71
realise,71
yielded,71
was-bound,71
fellow,71
sort,70
searched,70
was-tired,70
beat,70
was-carry,70
telling,70
seeing,70
calls,70
proved,70
influence,70
sees,70
entertained,70
follow,70
powers,70
was-make,70
was-amused,70
manners,70
job,70
was-saved,70
doubted,69
there,69
was-remarked,69
belonged,69
accompanied,69
spread,69
break,69
cigarette,69
frowned,69
danced,69
nerves,69
advice,69
writing,69
stirred,69
staring,69
servant,69
judgement,68
dreaded,68
childhood,68
clasped,68
was-ordered,68
flew,68
breasts,68
was-warned,68
was-said,68
allow,68
task,68
sick,68
year,67
persisted,67
sobbed,67
something,67
peered,67
was-felt,67
leaving,67
residence,67
control,67
property,67
formed,67
was-affected,67
fled,67
point,67
engaged,67
was-astonished,67
taught,67
consented,67
maid,67
dare,67
killed,67
putting,66
was-summoned,66
born,66
plunged,66
moving,66
patted,66
remark,66
travelled,66
dream,66
neighbour,66
lit,66
counted,66
brows,66
was-shook,65
was-surrounded,65
was-observed,65
decision,65
mused,65
hurt,65
was-dragged,65
orders,65
conceived,65
was-prevented,65
secret,65
begin,65
flushed,64
study,64
afford,64
warned,64
astonishment,64
groaned,64
excitement,64
owed,64
was-rejoined,64
brushed,64
receive,64
applied,63
stole,63
laugh,63
recognise,63
delight,63
emotion,63
was-drove,63
history,63
ashamed,63
partner,63
fool,63
dismissed,63
was-persuaded,63
class,63
attempt,63
was-shouted,63
was-troubled,63
was-acquainted,63
relations,63
shared,63
jacket,63
was-shocked,63
choice,63
was-come,62
grandfather,62
was-join,62
was-accustomed,62
anticipated,62
manage,62
sword,62
reason,62
needs,62
chuckled,62
dashed,62
relaxed,62
host,62
assistance,62
continue,62
directed,62
belt,62
commanded,61
satisfaction,61
full,61
was-understood,61
tapped,61
was-thank,61
light,61
shivered,61
eyelids,61
direction,61
released,61
determination,60
turning,60
jaw,60
was-please,60
gown,60
was-holding,60
dragged,60
occupied,60
box,60
breakfast,60
was-visit,60
rested,60
ride,60
path,60
was-taught,60
satisfied,60
admiration,60
mention,60
lungs,60
advised,60
argued,60
possession,60
was-looked,60
was-trust,59
asking,59
things,59
was-hold,59
questions,59
strolled,59
was-frightened,59
accept,59
regretted,59
illness,59
was-begged,59
cause,59
was-was,59
resist,59
emotions,59
consent,59
fancy,59
ignored,59
explain,59
encountered,59
rang,58
wrong,58
grateful,58
open,58
objected,58
views,58
join,58
ended,58
planned,58
world,58
sex,58
sleeve,58
persuaded,58
was-addressing,58
summoned,58
wound,58
disliked,58
disappointment,58
stammered,58
cleared,58
thumb,58
lingered,58
was-stop,57
suppose,57
nostrils,57
darted,57
halted,57
mad,57
was-advised,57
intentions,57
selected,57
doubt,57
guard,57
distress,57
last,57
eyed,57
pronounced,57
services,57
was-disturbed,57
station,56
owned,56
washed,56
victim,56
was-murmured,56
fail,56
requested,56
was-forgotten,56
interview,56
