word,docfreq
sobbed,71
crawled,71
beauty,71
worn,71
accept,71
was-tempted,70
allow,70
food,70
directed,70
was-hugged,70
winked,70
gestured,70
was-protect,70
collected,70
crouched,70
opinion,70
character,70
was-noticed,70
commented,70
succeeded,70
flushed,70
duty,69
state,69
sleeping,69
bother,69
owned,69
mused,69
carry,69
was-remembered,69
calling,69
send,69
finish,69
pale,69
fingertips,69
line,69
moaned,69
request,68
was-calling,68
half,68
was-seized,68
regretted,68
clung,68
following,68
companions,68
was-replied,68
means,68
beautiful,68
was-wake,68
ended,68
career,68
gives,68
slammed,68
was-watch,68
year,67
hissed,67
condition,67
taste,67
stick,67
winced,67
was-faced,67
future,67
now,67
wound,67
was-reach,67
balance,67
tied,67
drinking,67
view,67
knife,66
heel,66
hid,66
fled,66
robe,66
was-was,66
resist,66
belonged,66
power,66
was-did,66
tea,66
down,66
careful,66
figured,66
rang,66
decide,65
using,65
frightened,65
escape,65
join,65
address,65
persisted,65
lives,65
swept,65
spun,65
furious,65
appear,65
attempt,65
beard,65
addressed,65
broken,65
was-bored,65
drive,65
respond,65
dying,65
mad,65
squinted,64
giggled,64
image,64
staggered,64
trip,64
was-amazed,64
lingered,64
tugged,64
brows,64
eyed,64
footsteps,64
hearing,64
swore,64
snorted,64
blouse,64
enjoying,64
cousin,64
was-regarded,64
wallet,63
was-hated,63
frame,63
form,63
mention,63
sold,63
role,63
suitcase,63
better,63
promise,63
ventured,63
resisted,63
curiosity,63
guest,63
drunk,63
up,63
sort,63
tie,63
bosom,63
gown,63
was-scared,63
was-beat,62
was-lead,62
confidence,62
treated,62
was-remember,62
ashamed,62
fumbled,62
was-blame,62
undressed,62
driven,62
was-involved,62
hip,62
buy,62
cold,62
gun,62
sight,62
ribs,62
conversation,62
spirits,62
fond,62
was-thank,61
escaped,61
finds,61
was-remind,61
was-persuade,61
ass,61
class,61
disliked,61
replaced,61
owed,61
courage,61
was-persuaded,61
nothing,61
was-drove,61
clapped,61
wondering,61
curious,61
flipped,61
light,61
grunted,61
birthday,61
quit,61
content,60
jeans,60
was-show,60
was-understood,60
buried,60
suffering,60
was-bothered,60
was-said,60
there,60
was-please,60
pillow,60
grief,60
anticipated,60
strolled,60
attended,60
health,60
guess,60
was-catch,60
conscience,60
presented,60
pen,60
was-interrupted,60
safe,59
fool,59
relationship,59
was-terrified,59
worry,59
enter,59
froze,59
danced,59
was-greet,59
hopes,59
gained,59
flicked,59
party,58
licked,58
turning,58
scratched,58
stands,58
built,58
produced,58
enjoy,58
was-pulling,58
shouting,58
enemy,58
travelled,58
packed,58
works,58
rise,58
study,58
rage,58
was-comfort,58
indicated,58
clasped,58
stooped,58
was-believe,58
last,58
was-forgive,58
was-embraced,58
ability,58
approach,58
yawned,58
expressed,57
growled,57
keeping,57
flew,57
slip,57
plunged,57
apologised,57
delivered,57
spend,57
enthusiasm,57
sits,57
was-surrounded,57
drop,57
intention,57
possessed,57
account,57
was-driven,57
letters,57
consider,57
breathe,57
quick,57
secretary,56
was-need,56
tucked,56
teacher,56
sound,56
signed,56
partner,56
relief,56
guests,56
paced,56
breakfast,56
pictured,56
scanned,56
height,56
ducked,56
nervous,56
wheeled,56
puts,56
advised,56
was-woke,56
shoe,56
smiles,56
questioned,56
cursed,56
judgement,56
crept,56
illness,56
was-troubled,56
being,56
ground,55
invitation,55
was-missed,55
was-drawn,55
chance,55
planning,55
was-bound,55
was-helping,55
anxiety,55
apron,55
tasted,55
convinced,55
was-slapped,55
reflection,55
resented,55
uttered,55
eating,55
eased,55
was-ordered,55
was-offered,55
was-visited,54
parked,54
was-annoyed,54
corrected,54
extended,54
slumped,54
dismissed,54
lack,54
was-fascinated,54
older,54
different,54
lift,54
was-astonished,54
fired,54
choked,54
grimaced,54
was-bringing,53
guard,53
eager,53
count,53
maintained,53
was-satisfied,53
fate,53
was-sat,53
was-leading,53
paying,53
was-addressed,53
growing,53
was-threw,53
existence,53
impressed,53
sake,53
was-reassured,53
retired,53
encountered,52
force,52
wishes,52
was-thrown,52
was-carry,52
referred,52
was-understand,52
fine,52
lead,52
regained,52
deserved,52
was-disappointed,52
grave,52
pipe,52
discussed,52
journey,52
developed,52
passion,52
sprang,52
key,52
reason,52
was-trust,52
was-engaged,51
pulse,51
card,51
trembled,51
was-accused,51
beer,51
acknowledged,51
surveyed,51
was-make,51
actions,51
roared,51
meeting,51
boss,51
appreciated,51
was-released,51
cross,51
handbag,51
was-pull,51
recall,50
luck,50
behaved,50
sucked,50
patient,50
duties,50
uniform,50
rest,50
happiness,50
tries,50
habit,50
determined,50
situation,50
awakened,50
style,50
report,50
collapsed,50
was-forgotten,50
suggestion,50
naked,50
phone,50
fly,50
proposed,50
sons,50
retreated,49
was-embarrassed,49
statement,49
born,49
crazy,49
jealous,49
