"Name"	"Gender"	"PercentFemale"	"PercentMale"	"RangeStart"	"RangeEnd"	"nothing"	"year"	"author"	"title"
"Eleanor"	"F"	99.8	0.2	1880	1912	173	1917	"Porter, Eleanor H."	"The Road to Understanding"
"Zane"	"M"	0	0	1880	1912	174	1917	"Grey, Zane"	"Wildfire"
"Alice"	"F"	99.6	0.4	1880	1912	175	1917	"Cholmondeley, Alice"	"Christine"
"Robert"	"M"	0.6	99.4	1880	1912	176	1917	"Hichens, Robert S."	"In the Wilderness"
"Ernest"	"M"	0.6	99.4	1880	1912	177	1917	"Poole, Ernest"	"His Family"
"Jeffrey"	"M"	0	100	1880	1912	178	1917	"Farnol, Jeffrey"	"The Definite Object"
"Ethel"	"F"	99.5	0.5	1880	1912	179	1917	"Dell, Ethel M."	"The Hundredth Chance"
"Zane"	"M"	0	0	1880	1913	180	1918	"Grey, Zane"	"The U. P. Trail"
"May"	"F"	99.1	0.9	1880	1913	181	1918	"Sinclair, May"	"The Tree of Heaven"
"Mary Roberts"	"F"	99.6	0.4	1880	1913	182	1918	"Rinehart, Mary Roberts"	"The Amazing Interlude"
"Edward"	"M"	0.4	99.6	1880	1913	183	1918	"Streeter, Edward"	"Dere Mable"
"Eleanor"	"F"	99.8	0.2	1880	1913	184	1918	"Porter, Eleanor H."	"Oh, Money! Money!"
"Ethel"	"F"	99.5	0.5	1880	1913	185	1918	"Dell, Ethel M."	"Greatheart"
"Ralph"	"M"	0.5	99.5	1880	1913	186	1918	"Connor, Ralph"	"The Major"
"Phillips"	"M"	0	100	1880	1913	187	1918	"Oppenheim, E. Phillips"	"The Pawns Count"
"Gene Stratton"	"M"	29.9	70.1	1880	1913	188	1918	"Porter, Gene Stratton"	"A Daughter of the Land"
"Stephen"	"M"	0.2	99.8	1880	1913	189	1918	"McKenna, Stephen"	"Sonia"
"Blasco"	"M"	0	0	1880	1914	190	1919	"Ibanez, V. Blasco"	"The Four Horsemen of the Apocalypse"
"Joseph"	"M"	0.5	99.5	1880	1914	191	1919	"Conrad, Joseph"	"The Arrow of Gold"
"Zane"	"M"	0	0	1880	1914	192	1919	"Grey, Zane"	"The Desert of Wheat"
"Mary Roberts"	"F"	99.6	0.4	1880	1914	193	1919	"Rinehart, Mary Roberts"	"Dangerous Days"
"Ralph"	"M"	0.5	99.5	1880	1914	194	1919	"Connor, Ralph"	"The Sky Pilot in No Man's Land"
"Harold Bell"	"M"	0.4	99.6	1880	1914	195	1919	"Wright, Harold Bell"	"The Re-Creation of Brian Kent"
"Gene Stratton"	"M"	28.8	71.2	1880	1914	196	1919	"Porter, Gene Stratton"	"Dawn"
"Temple"	"F"	59.8	40.2	1880	1914	197	1919	"Bailey, Temple"	"The Tin Soldier"
"Elizabeth"	"F"	99.7	0.3	1880	1914	198	1919	"Elizabeth"	"Christopher and Columbus"
"Robert"	"M"	0.5	99.5	1880	1914	199	1919	"Chambers, Robert W."	"In Secret"
"Zane"	"M"	0	100	1880	1915	200	1920	"Grey, Zane"	"The Man of the Forest"
"Peter"	"M"	0.3	99.7	1880	1915	201	1920	"Kyne, Peter B."	"Kindred of the Dust"
"Harold Bell"	"M"	0.4	99.6	1880	1915	202	1920	"Wright, Harold Bell"	"The Re-Creation of Brian Kent"
"James Oliver"	"M"	0.5	99.5	1880	1915	203	1920	"Curwood, James Oliver"	"The River's End"
"Irving"	"M"	0.1	99.9	1880	1915	204	1920	"Bacheller, Irving"	"A Man for the Ages"
"Eleanor"	"F"	99.8	0.2	1880	1915	205	1920	"Porter, Eleanor H."	"Mary-Marie"
"Joseph"	"M"	0.4	99.6	1880	1915	206	1920	"Lincoln, Joseph C."	"The Portygee"
"Phillips"	"M"	0	100	1880	1915	207	1920	"Oppenheim, E. Phillips"	"The Great Impersonation"
"Ethel"	"F"	99.5	0.5	1880	1915	208	1920	"Dell, Ethel M."	"The Lamp in the Desert"
"Kathleen"	"F"	99.9	0.1	1880	1915	209	1920	"Norris, Kathleen"	"Harriet and the Piper"
"Sinclair"	"M"	0	100	1880	1916	210	1921	"Lewis, Sinclair"	"Main Street"
"Dorothy"	"F"	99.7	0.3	1880	1916	211	1921	"Canfield, Dorothy"	"The Brimming Cup"
"Zane"	"M"	0	100	1880	1916	212	1921	"Grey, Zane"	"The Mysterious Rider"
"Edith"	"F"	99.7	0.3	1880	1916	213	1921	"Wharton, Edith"	"The Age of Innocence"
"James Oliver"	"M"	0.5	99.5	1880	1916	214	1921	"Curwood, James Oliver"	"The Valley of Silent Men"
"Edith"	"F"	99.7	0.3	1880	1916	215	1921	"Hull, Edith M."	"The Sheik"
"Mary Roberts"	"F"	99.6	0.4	1880	1916	216	1921	"Rinehart, Mary Roberts"	"A Poor Wise Man"
"Gene Stratton"	"M"	26.1	73.9	1880	1916	217	1921	"Porter, Gene Stratton"	"Her Father's Daughter"
"Gertrude"	"F"	99.7	0.3	1880	1916	218	1921	"Atherton, Gertrude"	"The Sisters-in-Law"
"Coningsby"	"M"	0	0	1880	1916	219	1921	"Dawson, Coningsby"	"The Kingdom Round the Corner"
"A.s.m"	"M"	0	0	1880	1917	220	1922	"Hutchinson, A.S.M."	"If Winter Comes"
"Edith"	"F"	99.7	0.3	1880	1917	221	1922	"Hull, Edith M."	"The Sheik"
"Booth"	"M"	0	0	1880	1917	222	1922	"Tarkington, Booth"	"Gentle Julia"
"Frances Hodgson"	"F"	99.2	0.8	1880	1917	223	1922	"Burnett, Frances Hodgson"	"The Head of the House of Coombe"
"Robert"	"M"	0.5	99.5	1880	1917	224	1922	"Keable, Robert"	"Simon Called Peter"
"Mary Roberts"	"F"	99.6	0.4	1880	1917	225	1922	"Rinehart, Mary Roberts"	"The Breaking Point"
"A.s.m"	"M"	0	0	1880	1917	226	1922	"Hutchinson, A.S.M."	"This Freedom"
"Louis"	"M"	0.9	99.1	1880	1917	227	1922	"Hemon, Louis"	"Maria Chapdelaine"
"Zane"	"M"	0	100	1880	1917	228	1922	"Grey, Zane"	"To the Last Man"
"Sinclair"	"M"	0	100	1880	1917	229	1922	"Lewis, Sinclair"	"Babbitt"
"Harold Bell"	"M"	0.4	99.6	1880	1917	230	1922	"Wright, Harold Bell"	"Helen of the Old House"
"Gertrude"	"F"	99.7	0.3	1880	1918	231	1923	"Atherton, Gertrude"	"Black Oxen"
"Arthur"	"M"	0.5	99.5	1880	1918	232	1923	"Train, Arthur"	"His Children's Children"
"Elizabeth"	"F"	99.7	0.3	1880	1918	233	1923	"Elizabeth"	"The Enchanted April"
"Sinclair"	"M"	0	100	1880	1918	234	1923	"Lewis, Sinclair"	"Babbitt"
"Temple"	"F"	49.2	50.8	1880	1918	235	1923	"Bailey, Temple"	"The Dim Lantern"
"A.s.m"	"M"	0	0	1880	1918	236	1923	"Hutchinson, A.S.M."	"This Freedom"
"Harold Bell"	"M"	0.4	99.6	1880	1918	237	1923	"Wright, Harold Bell"	"The Mine with the Iron Door"
"Zane"	"M"	0	100	1880	1918	238	1923	"Grey, Zane"	"The Wanderer of the Wasteland"
"Rafael"	"M"	0	100	1880	1918	239	1923	"Sabatini, Rafael"	"The Sea-Hawk"
"Mary Roberts"	"F"	99.7	0.3	1880	1918	240	1923	"Rinehart, Mary Roberts"	"The Breaking Point"
"Edna"	"F"	99.7	0.3	1880	1919	241	1924	"Ferber, Edna"	"So Big"
"Percy"	"M"	2.2	97.8	1880	1919	242	1924	"Marks, Percy"	"The Plastic Age"
"Anne Douglas"	"F"	99.8	0.2	1880	1919	243	1924	"Sedgwick, Anne Douglas"	"The Little French Girl"
"Philip"	"M"	0.3	99.7	1880	1919	244	1924	"Gibbs, Philip"	"The Heirs Apparent"
"James Oliver"	"M"	0.5	99.5	1880	1919	245	1924	"Curwood, James Oliver"	"A Gentleman of Courage"
"Zane"	"M"	11.3	88.7	1880	1919	246	1924	"Grey, Zane"	"The Call of the Canyon"
"Booth"	"M"	0	100	1880	1919	247	1924	"Tarkington, Booth"	"The Midlander"
"Coningsby"	"M"	0	0	1880	1919	248	1924	"Dawson, Coningsby"	"The Coast of Folly"
"Rafael"	"M"	0	100	1880	1919	249	1924	"Sabatini, Rafael"	"Mistress Wilding"
"Dorothy Canfield"	"F"	99.7	0.3	1880	1919	250	1924	"Fisher, Dorothy Canfield"	"The Homemaker"
"Hamilton"	"M"	0	100	1880	1920	251	1925	"Gibbs, A. Hamilton"	"Soundings"
"Margaret"	"F"	99.7	0.3	1880	1920	252	1925	"Kennedy, Margaret"	"The Constant Nymph"
"Gene Stratton"	"M"	23.4	76.6	1880	1920	253	1925	"Porter, Gene Stratton"	"The Keeper of the Bees"
	"F"	0	0	1880	1920	254	1925	"Barrington, E."	"Glorious Apollo"
"Michael"	"M"	0.4	99.6	1880	1920	255	1925	"Arlen, Michael"	"The Green Hat"
"Anne Douglas"	"F"	99.8	0.2	1880	1920	256	1925	"Sedgwick, Anne Douglas"	"The Little French Girl"
"Sinclair"	"M"	0	100	1880	1920	257	1925	"Lewis, Sinclair"	"Arrowsmith"
"Anne"	"F"	99.8	0.2	1880	1920	258	1925	"Parrish, Anne"	"The Perennial Bachelor"
"Rafael"	"M"	0	100	1880	1920	259	1925	"Sabatini, Rafael"	"The Carolinian"
"A.s.m"	"M"	0	0	1880	1920	260	1925	"Hutchinson, A.S.M."	"One Increasing Purpose"
"John"	"M"	0.5	99.5	1880	1921	261	1926	"Erskine, John"	"The Private Life of Helen of Troy"
"Anita"	"F"	99.8	0.2	1880	1921	262	1926	"Loos, Anita"	"Gentlemen Prefer Blondes"
